"gara_id","application_name","author_id","builder_id","contractor_id","designer_id","engine_id","manager_id","status","decision_date","region_name","city_id","type","turn","network","period_month","start_date","end_date","class","flat_area","build_qty","build_floor","build_area","com_area","park_area","flat_qty","com_qty","park_qty","flat_onerm","flat_tworm","flat_threerm","flat_fourrm","cost_plan","flat_msprice","build_mscost","flat_mscost","com_msprice","park_price","self_cost","unfin_cost","share_cost","warr_cost","comm_cost","cost_official","flat_inner","flat_height","dpg_date","dpg_num","dpg_add_num","dpg_num_text","prolongation","update_date","state_id","create_date","annul_date","state_name"
"68",NULL,"200140014897","131240018048","131240018048",NULL,"150340023613","140140011928","Действующий","2021-11-07","г. Астана","18178","Стандартный",NULL,"Строительство ИКИ за счет собственных средств Застройщика","15.0","2021-10-22","2022-08-12","4","17361","2.0","1, 3, 20","29299.19","1354.6","3005.4","300","9","71","147","71","76","6","6873006319","365567",NULL,"234580","400000","2000000","1030950948","1044022804","277800","58289835","1458500","6873006319","улучшенная черновая","2.85","2021-12-23","100","0","ДПГ-21-01-044/100","0.0","2024-02-26 09:00:35.388555","0","2024-03-08 16:16:36.330524",NULL,"Гарантия выдана до 2023"
"123",NULL,"930740000474","960340000376","050140024099","930740000474","081240016084","170640002219","Действующий","2021-05-13","г. Астана","18178","Стандартный","3/2","Без наружных инженерных сетей","23.0","2021-02-12","2022-09-29","4","12348.71","3.0","9","20246.28","1029.4","2502.05","166","7","80","38","49","65","14","2467040747","340000",NULL,"121851.5","400000","1500000","370056112","203068000","226900","22639727",NULL,"2467040747","черновая","3","2021-06-09","29","2","доп.согл. № 2 к 
ДПГ-19-01-001/029 03.12.2019","0.0","2024-02-26 09:00:35.388555","0","2024-03-08 16:16:36.330524",NULL,"Гарантия выдана до 2023"
"119",NULL,"020540000695","071140003260","150440028915","020540000695","020540000695","190840014283","Действующий","2021-09-09","г. Астана","18178","Стандартный","2","Строительство инженерных сетей за счет Застройщика ","17.0","2021-06-29","2022-10-17","4","21441.96","4.0","18","30912.47","1639.43","4124.85","374","17","252","170","102","68","34","6273402523","320000",NULL,"202941","420000","2000000","864474868","153772900","100000","61196296","1458500","6273402523","черновая","3","2021-09-30","87","0","ДПГ-21-01-038/087","0.0","2024-02-26 09:00:35.388555","0","2024-03-08 16:16:36.330524",NULL,"Гарантия выдана до 2023"
"129",NULL,"080240003273","960340000376","100140016199","080240003273","121140016323","170840012312","Действующий","2021-11-02","г. Астана","18178","Стандартный",NULL,"Строительство инженерных сетей за счет средств Застройщика ","17.0","2021-08-06","2022-10-26","4","9332.21","3.0","9","13835.8","1275.48","0","184","15","0","96","64","24","0","2657879549","260000",NULL,"192101","300000",NULL,"398681932","24808358","226900","26330712","1458500","2657879549","черновая","2.7","2021-11-19","97","0","ДПГ-21-01-001/097","0.0","2024-02-26 09:00:35.388555","0","2024-03-08 16:16:36.330524",NULL,"Гарантия выдана до 2023"
"99",NULL,"070440016568","140740007872","050940000922",NULL,"120840001080","140740014518","Действующий","2021-08-03","г. Астана","18178","Стандартный",NULL,"Проект на ИКИ в разработке, строительство за счет средств дольщиков с получением гарантии","12.0","2021-04-19","2023-01-19","4","4498.7","1.0","12","10142.5","122.7","4070.1","76","3","117","32","44","0","0","1913348225","360000",NULL,"188647","450000","2500000","287002234","328774153","105000","15845471","1458500","1913348225",NULL,NULL,"2021-08-13","77","0","ДПГ-21-01-034/077","3.0","2024-02-26 09:00:35.388555","0","2024-03-08 16:16:36.330524",NULL,"Гарантия выдана до 2023"
"103",NULL,"060640009878","070740007004","070740007004",NULL,"170640006023","180540002396","Действующий","2022-01-27","г. Астана","18178","Стандартный",NULL,"Наружные инженерные сети построены и введены в эксплуатацию за счет средств Застройщика","15.0","2021-10-14","2022-03-14","4","18777","2.0","24","25590","1053","0","322","2","0","138","92","92","0","5287558285","381963",NULL,"206626","450000",NULL,"793133743","948139174","50000","43394192","1458500","5287558285","чистовая",NULL,"2022-02-15","105","0","ДПГ-22-010-047/105","1.0","2024-02-26 09:00:35.388555","0","2024-03-08 16:16:36.330524",NULL,"Гарантия выдана до 2023"
"173",NULL,"100740005155","030840007596","030840007596","100740005155","140440019409","170740034528","Завершенный","2018-04-16","Западно-Казахстанская обл.","16298","Стандартный",NULL,NULL,"12.0","2017-08-17","2019-01-12",NULL,"6765.08","1.0","9","7546.7","0","0","126","0","0","55","62","9","0","1279348000","180000",NULL,"169500",NULL,NULL,"489504000","489504000","500000","15796882","1202500","1279348120","чистовая","2.7","2018-04-28","7","0","ДПГ-18-07-006/007","0.0","2024-02-26 09:00:35.388555","0","2024-03-08 16:16:36.330524",NULL,"Гарантия выдана до 2023"
"6",NULL,"030340014828","160640016168","060540017250","030340014828","120840001080","190140012211","Завершенный","2021-04-13","г. Алматы ","18194","Стандартный",NULL,"Строительство ИКИ производится за счет собственных средств УК с получением гарантии","16.0","2021-01-21","2021-12-27","4","14586.1","1.0","12, 13, 16","19657.2","0","2720.3","303","0","73","221","82","0","0","1333205650","348120",NULL,"67823",NULL,"1500000","199980848",NULL,"10000","13332057","1498500","1499679126","черновая",NULL,"2021-04-23","60","1","ДПГ-21-02-020/060","0.0","2024-02-26 09:00:35.388555","0","2024-03-08 16:16:36.330524",NULL,"Гарантия выдана до 2023"
"158",NULL,"960340000376","960340000376","080840010397","960340000376","081240016084","180640022394","Завершенный","2019-01-17","г. Астана","18178","Стандартный","1",NULL,"19.0","2018-09-14","2020-07-27","4","14495.5",NULL,NULL,"20748.3","1076.1","5176.7","110","0","256","1","35","24","42","3484165830","370000",NULL,"167925",NULL,NULL,"522624875","76358000","301449","68156153","1202500","3484165830",NULL,NULL,"2019-02-22","13","0","ДПГ-19-01-001/013","0.0","2024-02-26 09:00:35.388555","0","2024-03-08 16:16:36.330524",NULL,"Гарантия выдана до 2023"
"41",NULL,"190340001603","080340002536","080340002536",NULL,"120840001080","170240025312","Действующий","2021-10-26","г. Астана","18178","Стандартный",NULL,"Строительство ИКИ за счет собственных средств Застройщика","16.0","2021-01-26","2023-01-30","4","15390.1","4.0","9, 12","24087.8","1887.3","0","222","14","0","91","64","58","9","4189841202","310811",NULL,"173940","367493",NULL,"628476180","635678237","100000","35541630","1458500","4189841202","черновая","3","2021-11-05","92","0","ДПГ-21-01-040/092","3.0","2024-02-26 09:00:35.388555","0","2024-03-08 16:16:36.330524",NULL,"Гарантия выдана до 2023"
